date,keywords,count
2013,holocene,365
2012,holocene,316
2010,holocene,310
2008,holocene,294
2009,holocene,288
2011,holocene,284
2007,holocene,280
2006,holocene,274
2005,holocene,256
2004,holocene,236
2014,holocene,215
2003,holocene,214
2002,holocene,212
2001,holocene,207
2000,holocene,199
1999,holocene,158
1998,holocene,140
1997,holocene,103
2012,climate change,100
2013,climate change,84
2010,climate change,81
2011,climate change,78
2012,pollen,76
2008,climate change,76
2005,pollen,74
1996,holocene,73
2009,climate change,71
2013,pollen,70
1995,holocene,69
2007,pollen,63
2014,climate change,62
2013,paleoclimate,58
2011,pollen,56
2010,pollen,56
2005,climate change,55
2007,climate change,54
2007,late holocene,54
2009,late holocene,53
2009,pollen,53
2012,late holocene,52
2008,late holocene,52
2008,pollen,49
2013,pleistocene,47
2006,climate change,47
2011,late holocene,46
2013,late holocene,45
1994,holocene,45
2013,stable isotopes,44
2006,paleoclimate,44
2006,late holocene,44
2006,pollen,44
2012,stable isotopes,43
2013,diatoms,42
2013,climate,40
2012,pleistocene,40
2003,pollen,40
2004,climate change,40
2009,diatoms,40
2014,pollen,39
2013,quaternary,39
2012,paleoclimate,39
2013,charcoal,38
2012,quaternary,38
2006,diatoms,38
2010,late holocene,37
2002,quaternary,37
2001,pollen,37
2007,pollen analysis,37
2005,late holocene,37
2013,lake sediments,36
2012,diatoms,36
2002,pollen,36
2002,climate change,36
2007,diatoms,36
2005,diatoms,36
1992,holocene,35
2004,late holocene,35
2008,climate,35
2011,paleoclimate,34
2010,stable isotopes,34
2010,pleistocene,34
2001,quaternary,34
2005,palaeoclimate,34
2010,human impact,33
2002,diatoms,33
2004,pollen,33
2011,pleistocene,32
2011,climate,32
2010,palynology,32
2010,climate,32
2010,quaternary,32
2003,paleoclimate,32
2007,human impact,32
2008,quaternary,32
2009,palynology,32
2014,paleoclimate,31
2011,stable isotopes,31
2011,palaeoclimate,31
2012,climate,31
2003,diatoms,31
2003,late holocene,31
2000,climate change,31
2009,pleistocene,31
2009,quaternary,31
2013,pollen analysis,30
2012,palynology,30
2002,late holocene,30
2006,pleistocene,30
2007,paleoclimate,30
2004,quaternary,30
2009,stable isotopes,30
2014,quaternary,29
2014,late holocene,29
2011,quaternary,29
2010,pollen analysis,29
2010,palaeoclimate,29
2013,sea level,29
1991,holocene,29
1993,holocene,29
2003,vegetation history,29
2001,climate change,29
2001,diatoms,29
2005,palynology,29
2009,human impact,29
2012,lake sediments,28
2012,human impact,28
2001,late holocene,28
2007,pleistocene,28
2008,human impact,28
2014,human impact,27
2011,diatoms,27
2011,human impact,27
2013,human impact,27
2013,palaeoclimate,27
1997,quaternary,27
2000,quaternary,27
2001,paleoclimate,27
2006,palynology,27
2007,palaeoclimate,27
2007,climate,27
2005,pleistocene,27
2008,palynology,27
2009,climate,27
2011,late pleistocene,26
2010,palaeoecology,26
2010,diatoms,26
2010,paleoclimate,26
2013,paleoecology,26
2013,radiocarbon dating,26
2013,late quaternary,26
2012,pollen analysis,26
2012,little ice age,26
2003,climate,26
2006,climate,26
2007,palynology,26
2007,quaternary,26
2013,geochemistry,25
2012,sea level,25
2000,pollen,25
2006,human impact,25
2006,quaternary,25
2006,late quaternary,25
2008,stable isotopes,25
2008,diatoms,25
2008,paleoclimate,25
2009,lake sediments,25
2011,radiocarbon dating,24
2010,lake sediments,24
2012,geochemistry,24
1999,pleistocene,24
2002,late quaternary,24
2003,climate change,24
2000,vegetation history,24
2001,palynology,24
2006,stable isotopes,24
2007,vegetation history,24
2005,quaternary,24
2005,paleoclimate,24
2008,pleistocene,24
2008,lake sediments,24
2008,geochemistry,24
2008,palaeoclimate,24
2009,paleoclimate,24
2010,oxygen isotopes,23
2010,geomorphology,23
2013,last glacial maximum,23
1999,pollen analysis,23
1999,palaeoclimate,23
2003,pleistocene,23
2003,human impact,23
2003,palaeoclimate,23
2007,radiocarbon dating,23
2004,diatoms,23
2004,paleoclimate,23
2004,palynology,23
2005,vegetation history,23
2009,pollen analysis,23
2010,radiocarbon dating,22
2013,little ice age,22
2012,radiocarbon dating,22
2012,deglaciation,22
1999,quaternary,22
2003,quaternary,22
2000,late holocene,22
2000,diatoms,22
2000,pollen analysis,22
2001,climatic change,22
2006,palaeoclimate,22
2007,late quaternary,22
2004,radiocarbon dating,22
2005,late quaternary,22
2008,pollen analysis,22
2009,radiocarbon dating,22
2011,late quaternary,21
2011,pollen analysis,21
2010,charcoal,21
2010,early holocene,21
2013,vegetation,21
2013,late pleistocene,21
2012,late quaternary,21
1999,stable isotopes,21
1999,pollen,21
1999,climate change,21
1998,paleoclimate,21
1998,quaternary,21
1998,pollen,21
2000,palynology,21
2001,pleistocene,21
2006,monsoon,21
2004,climatic change,21
2005,stable isotopes,21
2005,human impact,21
2008,palaeoecology,21
2009,biogeography,21
2014,palaeoecology,20
2014,geoarchaeology,20
2011,geomorphology,20
2010,last glacial maximum,20
2010,foraminifera,20
1998,palynology,20
2003,late quaternary,20
2003,climatic change,20
2001,stable isotopes,20
2001,pollen analysis,20
2006,radiocarbon dating,20
2006,vegetation history,20
2004,palaeoclimate,20
2005,pollen analysis,20
2005,climate,20
2008,geoarchaeology,20
2009,late quaternary,20
2009,little ice age,20
2009,palaeoclimate,20
2014,pollen analysis,19
2014,stable isotopes,19
2014,radiocarbon dating,19
2011,sea level,19
2011,palynology,19
2011,foraminifera,19
2013,palaeoecology,19
2013,argentina,19
2013,neolithic,19
1997,pollen,19
1997,palynology,19
1999,diatoms,19
1999,late holocene,19
1998,radiocarbon dating,19
1998,pollen analysis,19
1998,climate change,19
2002,paleoclimate,19
2002,stable isotopes,19
2003,palaeoecology,19
2003,lake sediments,19
2000,paleoclimate,19
2001,palaeoclimate,19
2001,lake sediments,19
2006,pollen analysis,19
2006,sea level,19
2004,climate,19
2004,stable isotopes,19
2008,stratigraphy,19
2009,geoarchaeology,19
2014,diatoms,18
2011,early holocene,18
2011,lake sediments,18
2011,neolithic,18
2010,late pleistocene,18
2010,radiocarbon,18
2010,tibetan plateau,18
2010,late quaternary,18
2013,fire,18
2013,palynology,18
2013,osl dating,18
2012,late pleistocene,18
2012,palaeoclimate,18
2012,palaeoecology,18
2012,younger dryas,18
2012,paleoecology,18
2012,osl dating,18
1997,climate change,18
1999,palynology,18
2002,foraminifera,18
2002,palynology,18
2003,palynology,18
2001,late quaternary,18
2006,sea-level change,18
2006,palaeoecology,18
2007,palaeoecology,18
2004,palaeoecology,18
2005,palaeoecology,18
2008,sea level,18
2008,late pleistocene,18
2008,archaeology,18
2008,last glacial maximum,18
2009,phylogeography,18
2009,geochemistry,18
2009,radiocarbon,18
2014,paleoecology,17
2011,palaeoecology,17
2011,south america,17
2013,phylogeography,17
2013,paleoenvironment,17
2013,lake sediment,17
2012,vegetation,17
2012,geomorphology,17
2012,fire history,17
2012,last glacial maximum,17
2012,paleohydrology,17
2012,antarctica,17
2002,human impact,17
2002,paleoclimatology,17
2003,paleolimnology,17
2000,stable isotopes,17
2000,late quaternary,17
2000,palaeoclimate,17
2006,fire history,17
2004,antarctica,17
2005,plant macrofossils,17
2005,lake sediments,17
2008,geomorphology,17
2009,neolithic,17
2014,little ice age,16
2014,sea level,16
2011,palaeoenvironment,16
2011,deglaciation,16
2011,little ice age,16
2011,last glacial maximum,16
2010,geochemistry,16
2010,sea level,16
2010,fire,16
2013,mid-holocene,16
2013,china,16
2013,younger dryas,16
2013,sedimentology,16
2012,patagonia,16
2012,paleolimnology,16
2012,vegetation history,16
2012,taphonomy,16
1998,diatoms,16
2002,climate,16
2002,pollen analysis,16
2002,vegetation history,16
2000,sea level,16
2000,pleistocene,16
2000,last glacial maximum,16
2001,climate,16
2007,foraminifera,16
2007,sea level,16
2004,last glacial maximum,16
2004,late quaternary,16
2004,late pleistocene,16
2008,late quaternary,16
2008,fire history,16
2008,radiocarbon,16
2009,palaeoecology,16
2009,archaeology,16
2009,palaeoenvironment,16
2014,charcoal,15
2014,last glacial maximum,15
2014,climate,15
2011,younger dryas,15
2011,paleoecology,15
2011,charcoal,15
2010,new zealand,15
2013,fire history,15
2012,sedimentology,15
2012,south america,15
1997,vegetation history,15
1998,pleistocene,15
2002,sea-level change,15
2000,geochemistry,15
2000,human impact,15
2006,foraminifera,15
2006,oxygen isotopes,15
2006,geochemistry,15
2007,phylogeography,15
2007,late pleistocene,15
2004,pleistocene,15
2004,vegetation history,15
2005,charcoal,15
2008,neolithic,15
2008,fire,15
2008,mediterranean,15
2008,foraminifera,15
2009,paleolimnology,15
2009,mediterranean,15
2009,vegetation history,15
2014,geochemistry,14
2011,argentina,14
2011,transfer function,14
2011,archaeology,14
2011,oxygen isotopes,14
2011,hunter-gatherers,14
2010,monsoon,14
2010,sedimentology,14
2010,phylogeography,14
2010,little ice age,14
2010,deglaciation,14
2010,stratigraphy,14
2013,paleolimnology,14
2013,testate amoebae,14
2013,early holocene,14
2013,enso,14
2013,geomorphology,14
2013,new zealand,14
2013,soil erosion,14
2013,benthic foraminifera,14
2012,radiocarbon,14
2012,biogeography,14
2012,monsoon,14
1997,late quaternary,14
1999,foraminifera,14
1999,climate,14
1998,late quaternary,14
2002,new zealand,14
2003,pollen analysis,14
2003,stable isotopes,14
2003,radiocarbon dating,14
2000,neotectonics,14
2000,climate,14
2001,vegetation history,14
2006,late pleistocene,14
2006,australia,14
2006,charcoal,14
2007,little ice age,14
2007,neolithic,14
2007,charcoal,14
2007,stable isotopes,14
2007,stratigraphy,14
2007,geochemistry,14
2007,lake sediments,14
2007,radiocarbon,14
2004,human impact,14
2005,antarctica,14
2005,sea-level change,14
2005,little ice age,14
2008,south america,14
2008,australia,14
2008,younger dryas,14
2008,radiocarbon dating,14
2009,paleoecology,14
2009,chironomids,14
2009,sea level,14
2009,fire history,14
2014,lake sediments,13
2014,pleistocene,13
2014,dendrochronology,13
2011,radiocarbon,13
2011,stratigraphy,13
2011,geoarchaeology,13
2010,china,13
2010,osl dating,13
2010,geochronology,13
2010,vegetation,13
2013,foraminifera,13
2013,palaeohydrology,13
2013,deglaciation,13
2013,sea-level change,13
2013,stalagmite,13
2012,tibetan plateau,13
2012,hunter-gatherers,13
2012,phylogeography,13
2012,sea-level rise,13
2012,italy,13
2012,tephrochronology,13
2012,fire,13
2012,early holocene,13
2012,chironomids,13
2012,lateglacial,13
1994,pollen analysis,13
1997,pollen analysis,13
1996,pollen,13
1999,paleoclimate,13
1999,vegetation history,13
1998,palaeoecology,13
2002,geochemistry,13
2002,paleoecology,13
2002,palaeoclimate,13
2000,climatic change,13
2000,late glacial,13
2001,human impact,13
2006,archaeology,13
2006,new zealand,13
2007,sedimentology,13
2007,neotectonics,13
2007,loess,13
2004,pollen analysis,13
2005,stratigraphy,13
2008,sedimentology,13
2008,paleolimnology,13
2009,geomorphology,13
2009,arctic,13
2009,late pleistocene,13
2009,argentina,13
2014,neolithic,12
2014,archaeology,12
2014,asian monsoon,12
2014,tibetan plateau,12
2014,vegetation,12
2014,deglaciation,12
2011,tsunami,12
2011,vegetation,12
2011,mediterranean,12
2011,mesolithic,12
2011,grain size,12
2010,antarctica,12
2010,mediterranean,12
2010,fire history,12
2010,erosion,12
2010,peat,12
2010,neolithic,12
2010,younger dryas,12
2013,palaeoenvironment,12
2013,hunter-gatherers,12
2013,south america,12
2013,vegetation history,12
2013,tephra,12
2013,lake level,12
2012,geoarchaeology,12
2012,macrofossils,12
2012,palaeoenvironment,12
2012,archaeology,12
2012,foraminifera,12
2012,charcoal,12
2012,zooarchaeology,12
1994,paleoclimate,12
1997,climatic change,12
1999,climatic change,12
1999,sea level,12
1998,palaeolimnology,12
2002,last glacial maximum,12
2002,palaeoecology,12
2002,geomorphology,12
2002,sea level,12
2002,oxygen isotopes,12
2003,foraminifera,12
2000,foraminifera,12
2000,sedimentology,12
2000,mid-holocene,12
2000,lake sediments,12
2000,charcoal,12
2000,palaeoecology,12
2001,late pleistocene,12
2001,sea level,12
2001,radiocarbon dating,12
2006,transfer function,12
2006,climate variability,12
2006,paleoecology,12
2006,palaeolimnology,12
2006,argentina,12
2007,china,12
2007,sedimentation,12
2007,sea-level rise,12
2007,paleoecology,12
2004,younger dryas,12
2004,new zealand,12
2004,paleoecology,12
2005,oxygen isotopes,12
2005,sea level,12
2005,archaeology,12
2005,neolithic,12
2008,chile,12
2008,erosion,12
2008,tephra,12
2008,paleoecology,12
2009,sea-level change,12
2009,drought,12
2014,micromorphology,11
2014,mid-holocene,11
2014,taxonomy,11
2014,early holocene,11
2014,soil erosion,11
2014,enso,11
2014,geomorphology,11
2011,new zealand,11
2011,osl,11
2011,antarctica,11
2011,osl dating,11
2011,benthic foraminifera,11
2011,east asian monsoon,11
2011,geochemistry,11
2011,environmental change,11
2011,peat,11
2010,paleoecology,11
2010,geoarchaeology,11
2010,chronology,11
2010,late glacial,11
2010,vegetation history,11
2010,non-pollen palynomorphs,11
2013,climatic change,11
2013,mediterranean,11
2013,archaeology,11
2013,transfer function,11
2013,australia,11
2013,permafrost,11
2013,speleothem,11
2013,macrofossils,11
2012,argentina,11
2012,transfer function,11
2012,relative sea level,11
2012,stratigraphy,11
2012,new zealand,11
2012,mediterranean,11
2012,lake sediment,11
1991,palynology,11
1995,climatic change,11
1997,palaeoclimate,11
1997,paleoclimate,11
1997,late holocene,11
1996,climate change,11
1999,ostracods,11
1998,vegetation history,11
2002,south america,11
2002,deglaciation,11
2002,radiocarbon,11
2003,paleoecology,11
2001,deglaciation,11
2001,paleoecology,11
2001,geochemistry,11
2001,palaeoecology,11
2001,fire,11
2001,saanich inlet,11
2006,sedimentology,11
2006,fire,11
2006,lake sediments,11
2006,peat,11
2006,late glacial,11
2007,archaeology,11
2007,sea-level change,11
2007,tsunami,11
2007,vegetation,11
2007,younger dryas,11
2007,optical dating,11
2007,new zealand,11
2004,environmental change,11
2004,sea level,11
2005,argentina,11
2005,geomorphology,11
2005,geochemistry,11
2005,paleoecology,11
2005,deglaciation,11
2005,late pleistocene,11
2008,chronology,11
2008,charcoal,11
2008,vegetation history,11
2008,oxygen isotopes,11
2008,deglaciation,11
2008,chironomids,11
2008,late glacial,11
2009,iceland,11
2009,soil erosion,11
2009,charcoal,11
2009,last glacial maximum,11
2009,new zealand,11
2009,australia,11
2009,hunter-gatherers,11
2014,paleoenvironment,10
2014,sedimentology,10
2014,environmental change,10
2014,extinction,10
2014,paleolimnology,10
2014,foraminifera,10
2011,lateglacial,10
2011,neotectonics,10
2011,north atlantic,10
2011,phylogeography,10
2011,fire,10
