date,keywords,count
2014,pollen analysis,367
2014,climatic change,209
2014,southwest monsoon,205
2014,holocene,189
2014,alpine lake,155
2014,yunnan province,153
2014,last interglacial (mis 5),107
2014,last glacial (mis 4-2),74
2014,pleniglacial,73
2014,climate evolution,73
2014,degree of continentality,71
2014,n atlantic sea-ice,53
2014,fennoscandian ice sheet,51
2014,oceanic island,50
2014,sea level rise,49
2014,monsoon precipitation,48
2014,indian ocean dipole,47
2014,el nino-southern oscillation,45
2014,palm woodland,44
2014,semi-dry lowland forest,43
2014,colville river,43
2014,radioisotope geochronology,42
2014,chirp,40
2014,inner beaufort sea,40
2014,late holocene transgression,40
2014,back-barrier sedimentation,39
2014,paleoceanography,39
2014,ocean-atmosphere climate linkages,38
2014,mid-holocene climate optimum,37
2014,eastern north atlantic central water circulation,37
2014,nao,36
2014,orbital insolation,34
2014,eolian dust sources,31
2014,south america,31
2014,"pb, nd, sr isotopes",30
2014,atacama,30
2014,chilean lake district,30
2014,glacial termination,29
2014,tibetan plateau,29
2014,lake siling co,28
2014,climate change,28
2014,water balance,27
2014,modis,27
2014,satellite altimetry,26
2014,streamflow variability,26
2014,hydrologic oscillations,26
2014,enso,25
2014,river discharges,25
2014,wavelet analyses,25
2014,ocean acidification,25
2014,global sensitivity analysis,25
2014,morris sensitivity method,25
2014,sobol sensitivity method,25
2014,north sea,25
2014,englacial,24
2014,glaciers,24
2014,greenland,24
2014,hydrology,24
2014,ice dynamics,24
2014,ice sheet,24
2014,proglacial,23
2014,sediment plumes,23
2014,subglacial,23
2014,supraglacial lakes,23
2014,supraglacial streams,22
2014,egg cannibalism,22
2014,glaucous-winged gull,22
2014,larus glaucescens,22
2014,larus occidentalis,22
2014,sea surface temperature,22
2014,western gull,22
2014,tidewater glaciers,22
2014,alaska,22
2014,glacier change,22
2014,beijing climate center climate system model (bcc-csm),22
2014,atmospheric general circulation model,21
2014,land surface model,21
2014,oceanic general circulation model,20
2014,sea ice model,20
2014,east asian winter monsoon,20
2014,winter precipitation,19
2014,el nino and la nina,19
2014,asymmetry,19
2014,decadal variability,19
2014,coral heath,19
2014,indicator,19
2014,french polynesia,18
2014,stress,18
2014,oceanic fronts,18
2014,ice cover,18
2014,seasonality,18
2014,permanova,18
2014,distlm,18
2014,speleothem,18
