date,keywords,count
2013,climate change,235
2011,climate change,141
2014,climate change,134
2010,climate change,134
2009,climate change,122
2012,climate change,120
2011,heavy metals,100
2013,heavy metals,100
2014,heavy metals,99
2008,climate change,86
2010,heavy metals,77
2008,heavy metals,75
2007,heavy metals,70
2013,pollution,69
2009,heavy metals,66
2007,climate change,57
2011,eutrophication,57
2011,water quality,56
2013,conservation,55
2011,conservation,54
2010,conservation,54
2013,biodiversity,54
2006,climate change,50
2006,heavy metals,49
2010,sediment,49
2012,heavy metals,49
2011,pollution,48
2013,sediments,48
2013,sediment,48
2008,eutrophication,47
2012,eutrophication,47
2010,biodiversity,46
2013,water quality,46
2013,metals,46
2014,conservation,45
2013,land use,44
2012,water quality,44
2009,conservation,43
2011,gis,43
2012,conservation,42
2011,sediment,41
2007,eutrophication,40
2009,pollution,40
2010,water quality,40
2014,eutrophication,39
2011,metals,39
2011,biodiversity,39
2012,biodiversity,39
2007,pollution,38
2014,sediments,38
2013,remote sensing,38
2013,groundwater,38
2009,eutrophication,37
2011,land use,37
2011,disturbance,37
2013,climate,37
2006,pollution,36
2008,conservation,36
2008,pollution,36
2009,sediment,36
2009,mercury,36
2010,trace metals,36
2013,carbon dioxide,36
2003,climate change,35
2004,heavy metals,35
2004,pollution,35
2014,biodiversity,35
2008,biodiversity,35
2003,heavy metals,34
2007,conservation,34
2009,sediments,34
2011,sediments,34
2011,groundwater,34
2010,pollution,34
2013,mercury,34
2013,nitrogen,34
2012,sediment,34
2005,heavy metals,33
2014,sediment,33
2011,global warming,33
2011,nutrients,33
2013,trace elements,33
2013,urbanization,33
2013,anthropogenic impact,33
2013,eutrophication,33
2013,ocean acidification,33
2004,climate change,32
2008,sediment,32
2010,nitrogen,32
2013,holocene,32
2007,nitrogen,31
2009,land use,31
2013,soil,31
2013,anthropogenic disturbance,31
2002,heavy metals,30
2006,conservation,30
2006,nitrogen,30
2007,water quality,30
2011,nitrogen,30
2010,contamination,30
2010,mercury,30
2013,gis,30
2013,enrichment factor,30
2012,nitrogen,30
2008,disturbance,29
2009,biodiversity,29
2009,groundwater,29
2011,trace elements,29
2011,human impact,29
2010,anthropogenic disturbance,29
2012,pollution,29
2002,pollution,28
2006,water quality,28
2007,holocene,28
2007,nutrients,28
2005,climate change,28
2014,global warming,28
2011,stable isotopes,28
2011,soil,28
2011,climate,28
2010,sediments,28
2010,disturbance,28
2010,anthropogenic,28
2006,sediments,27
2014,water quality,27
2014,pollution,27
2014,mercury,27
