date,keywords,count
1990,anthropocene,2
1990,climate changes,4
1990,production objectives,2
1990,borana,2
1990,ethiopia,9
1990,west africa,1
1990,fresh-water,1
1990,algal jellies,1
1990,proximate constituents,1
1990,nutrient elements,1
1994,anthropocene,1
1994,climate changes,2
1994,production objectives,1
1994,borana,1
1994,ethiopia,3
2014,adaptation,1
2014,environmental changes,1
2014,multispecies herding,1
2014,production objectives,1
2014,borana,1
2014,ethiopia,3
2014,deforestation,1
2014,soil erosion,1
2014,land ownership,1
2014,gis,1
2014,historical maps,1
