date,keywords,count
,,
,,
,,
,,
,,
,,
1990,nutrient elements,1
1990,northern adriatic sea,1
1990,virtual impactor,1
1990,great lakes,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1989,landscape ecology,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1990,ethiopia,3
,,
2014,ethiopia,3
2014,historical maps,1
1990,nutrient elements,1
,,
,,
,,
,,
,,
,,
1990,nutrient elements,1
1990,northern adriatic sea,1
1990,virtual impactor,1
1990,great lakes,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1989,landscape ecology,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1990,ethiopia,3
,,
2014,ethiopia,3
2014,historical maps,1
1990,nutrient elements,1
,,
,,
,,
,,
,,
,,
1990,nutrient elements,1
1990,northern adriatic sea,1
1990,virtual impactor,1
1990,great lakes,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1989,landscape ecology,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1990,ethiopia,3
,,
2014,ethiopia,3
2014,historical maps,1
1990,nutrient elements,1
,,
,,
,,
,,
,,
,,
1990,nutrient elements,1
1990,northern adriatic sea,1
1990,virtual impactor,1
1990,great lakes,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1989,landscape ecology,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1990,ethiopia,3
,,
2014,ethiopia,3
2014,historical maps,1
1990,nutrient elements,1
,,
,,
,,
